SalesMonth,ProductName,TotalSales,TotalUnits
2023-01,Actiflor,2799984.3232,4400
2023-01,Actnise,2815944.11000003,8362
2023-01,Ad Folic,9820156.37900191,25326
2023-01,Ad Folic OD,16141609.6057979,30896
2023-01,Ad-D Chewable,468997.397600001,1950
2023-01,Agoviz,2587650.745,3665
2023-01,Aircare,703974.136000013,1619
2023-01,Aireez,5865987.81899999,11468
2023-01,Anex-M,754854.229999994,2275
2023-01,Anplag,13204928.5655,9714
2023-01,Arbi,4996689.0449,14664
2023-01,Arbi-D,10128053.8574999,22502
2023-01,Avsar,103339064.390636,226657
2023-01,Avsar Plus,33975361.3449007,77713
2023-01,AXIFER,563071.875,679
2023-01,Azliv,1579311.215,8870
2023-01,BD PEN NEEDLE,2824281.5463,125718
2023-01,BD SYRINGE - BAG,59041950.6012003,1709613
2023-01,Busonide,1688773.41499999,4147
2023-01,Byvas,17454717.3041986,60921
2023-01,Dapwiz,4288768.5,15292
2023-01,Dipof,1599347.88300001,6992
2023-01,Diu Tansin,2050727.89319991,9995
2023-01,Duzalta,13234923.2879993,22758
2023-01,Eglaro,267203.358,676
2023-01,Eglaro-S,2111242.835,3348
2023-01,Erli,9277520.91999992,22171
2023-01,Erli Plus,26282.85,123
2023-01,Erli Plus XR,13377031.9364994,25816
2023-01,Estar,37108005.4262994,98490
2023-01,Evo Joshanda,3246949.89699999,7143
2023-01,EvoCheck,25348684.3243995,9818
2023-01,EvoCheck Go,9241333.99999997,4030
2023-01,Evofix,5339043.3145,17437
2023-01,Evokalm,6471937.40000008,22701
2023-01,Evokalm XR,1904852.04,3331
2023-01,Evopravir,9562.5,5
2023-01,Evopride,14478169.551998,25242
2023-01,Evopride Plus,24042030.387504,57018
2023-01,Fasteso,2455480.3245,7938
2023-01,Femova,9192939.23899952,8548
2023-01,Ferfer,9694579.64790018,12862
2023-01,Ferfer Gro,2455168.63399998,5853
2023-01,Galvecta,977363.9328,2881
2023-01,Galvecta Plus,10100900.6507,19984
2023-01,Gouric,57926734.5280001,95813
2023-01,HIFAZAT,7984.049,108
2023-01,Histalis,1133862.3485,6505
2023-01,IBANDRO,204248.6175,459
2023-01,Inosita,16546399.4219991,15523
2023-01,Inosita Plus,117930403.256227,133036
2023-01,Ivadin,2944610.63,8285
2023-01,K-1000,9904244.57830042,15866
2023-01,Kalsob,14574497.5415995,23364
2023-01,Klevra,6315796.42339993,6639
2023-01,Klevra XR,328032,577
2023-01,LACTEUS 2,34962.225,59
2023-01,LACTEUS 3,5966.25,5
2023-01,LACTEUS AR,35304.1975,32
2023-01,LACTEUS GROW 3,350271.8553,449
2023-01,LIMITROL,1020,8
2023-01,Lowplat,65904278.9491421,287997
2023-01,Lowplat Plus,93454372.1678343,370050
2023-01,MFIT,19528.32,16
2023-01,NEBULIZERS,125800.293,23
2023-01,Neo Q 10,2771744.12609999,2504
2023-01,Nise,65799541.8710238,253442
